Date,Close
27/10/2022,3819.5
28/10/2022,3911.25
31/10/2022,3883
01/11/2022,3866
02/11/2022,3768.75
03/11/2022,3727.75
04/11/2022,3779.5
07/11/2022,3815.25
08/11/2022,3835.25
09/11/2022,3755.5
10/11/2022,3961
11/11/2022,4000.25
14/11/2022,3966
15/11/2022,3999.5
16/11/2022,3968.5
17/11/2022,3955.25
18/11/2022,3974
21/11/2022,3958
22/11/2022,4010.25
23/11/2022,4033
25/11/2022,4032.5
28/11/2022,3970.25
29/11/2022,3962
30/11/2022,4081.25
01/12/2022,4081.75
02/12/2022,4075.5
05/12/2022,4003.25
06/12/2022,3945
07/12/2022,3936.75
08/12/2022,3965.75
09/12/2022,3936.25
12/12/2022,3991.75
13/12/2022,4022.25
14/12/2022,3998
15/12/2022,3897
16/12/2022,3871.47
19/12/2022,3845.5
20/12/2022,3849.25
21/12/2022,3905.75
22/12/2022,3849.25
23/12/2022,3869.75
27/12/2022,3855
28/12/2022,3807.5
29/12/2022,3871.75
30/12/2022,3861
03/01/2023,3846
04/01/2023,3874.5
05/01/2023,3829
06/01/2023,3915.5
09/01/2023,3913.75
10/01/2023,3940.75
11/01/2023,3990
12/01/2023,4003.5
13/01/2023,4018.25
17/01/2023,4009.5
18/01/2023,3945.75
19/01/2023,3915.5
20/01/2023,3988.5
23/01/2023,4036.5
24/01/2023,4032.75
25/01/2023,4032
26/01/2023,4075.5
27/01/2023,4084.25
30/01/2023,4032.5
31/01/2023,4090
01/02/2023,4132.25
02/02/2023,4191.5
03/02/2023,4147.75
06/02/2023,4123.5
07/02/2023,4175.75
08/02/2023,4130.5
09/02/2023,4091.75
10/02/2023,4099.75
13/02/2023,4147.25
14/02/2023,4145.5
15/02/2023,4158.25
16/02/2023,4099.75
17/02/2023,4087.5
21/02/2023,4005.75
22/02/2023,3999
23/02/2023,4018.75
24/02/2023,3975.75
27/02/2023,3988
28/02/2023,3975.5
01/03/2023,3956.5
02/03/2023,3984.75
03/03/2023,4049.75
06/03/2023,4052.5
07/03/2023,3989.75
08/03/2023,3995
09/03/2023,3920
10/03/2023,3862.75
13/03/2023,3856.75
14/03/2023,3920.5
15/03/2023,3892.75
16/03/2023,3960.5
17/03/2023,3957.05
20/03/2023,3983
21/03/2023,4035.75
22/03/2023,3970.5
23/03/2023,3978
24/03/2023,4001.25
27/03/2023,4007.25
28/03/2023,4001.5
29/03/2023,4057.5
30/03/2023,4080
31/03/2023,4137.75
03/04/2023,4153.75
04/04/2023,4129
05/04/2023,4117.25
06/04/2023,4132
07/04/2023,4132
10/04/2023,4136.25
11/04/2023,4136.5
12/04/2023,4119
13/04/2023,4172.75
14/04/2023,4163.75
17/04/2023,4176.75
18/04/2023,4180
19/04/2023,4178.5
20/04/2023,4152.5
21/04/2023,4156.75
24/04/2023,4159.5
25/04/2023,4093.25
26/04/2023,4076
27/04/2023,4153.75
28/04/2023,4188.5
01/05/2023,4185.75
02/05/2023,4136.75
03/05/2023,4107.5
04/05/2023,4075.75
05/05/2023,4150.25
08/05/2023,4152.75
09/05/2023,4134
10/05/2023,4152
11/05/2023,4143.75
12/05/2023,4138
15/05/2023,4150
16/05/2023,4123
17/05/2023,4171.5
18/05/2023,4212
19/05/2023,4204.75
22/05/2023,4205
23/05/2023,4158.75
24/05/2023,4126
25/05/2023,4159.75
26/05/2023,4213.25
30/05/2023,4215
31/05/2023,4190.5
01/06/2023,4228
02/06/2023,4288
05/06/2023,4281
06/06/2023,4289.75
07/06/2023,4274.25
08/06/2023,4298.25
09/06/2023,4304.75
12/06/2023,4342.75
13/06/2023,4371.75
14/06/2023,4374.25
15/06/2023,4426.5
16/06/2023,4453.35
20/06/2023,4434.75
21/06/2023,4409.25
22/06/2023,4423.75
23/06/2023,4389
26/06/2023,4370.25
27/06/2023,4418.75
28/06/2023,4417.5
29/06/2023,4435.75
30/06/2023,4488.25
03/07/2023,4492.25
05/07/2023,4483.75
06/07/2023,4447
07/07/2023,4434
10/07/2023,4444.25
11/07/2023,4473.5
12/07/2023,4507.5
13/07/2023,4543.5
14/07/2023,4536.75
17/07/2023,4553.75
18/07/2023,4587.75
19/07/2023,4597
20/07/2023,4565.5
21/07/2023,4564.75
24/07/2023,4583.5
25/07/2023,4596
26/07/2023,4595.25
27/07/2023,4564.25
28/07/2023,4606.5
31/07/2023,4614.5
01/08/2023,4601.25
02/08/2023,4537.25
03/08/2023,4521.75
04/08/2023,4498
07/08/2023,4537.75
08/08/2023,4518.5
09/08/2023,4485.75
10/08/2023,4485.75
11/08/2023,4480.75
14/08/2023,4506
15/08/2023,4454
16/08/2023,4420
17/08/2023,4384.5
18/08/2023,4382.75
21/08/2023,4412.5
22/08/2023,4399.25
23/08/2023,4447
24/08/2023,4386
25/08/2023,4414.25
28/08/2023,4442.25
29/08/2023,4506.75
30/08/2023,4524.25
31/08/2023,4516
01/09/2023,4521.5
05/09/2023,4502.5
06/09/2023,4471.5
07/09/2023,4456.25
08/09/2023,4461.75
11/09/2023,4490.25
12/09/2023,4465
13/09/2023,4468.75
14/09/2023,4506
15/09/2023,4491.72
18/09/2023,4501.5
19/09/2023,4490
20/09/2023,4447
21/09/2023,4372
22/09/2023,4361
25/09/2023,4378.75
26/09/2023,4314.75
27/09/2023,4313.5
28/09/2023,4337.5
29/09/2023,4325.5
02/10/2023,4324.25
03/10/2023,4264.75
04/10/2023,4297.75
05/10/2023,4290.75
06/10/2023,4341.5
09/10/2023,4368.75
10/10/2023,4391.5
11/10/2023,4409.75
12/10/2023,4380.5
13/10/2023,4357.25
16/10/2023,4401
17/10/2023,4401.75
18/10/2023,4342.25
19/10/2023,4303
20/10/2023,4248.5
23/10/2023,4241.75
24/10/2023,4271.25
25/10/2023,4209.75
26/10/2023,4156.5
27/10/2023,4137.75
30/10/2023,4185.75
31/10/2023,4212.25
01/11/2023,4256
02/11/2023,4335.75
03/11/2023,4376
06/11/2023,4384.25
07/11/2023,4396
08/11/2023,4399.5
09/11/2023,4362.25
10/11/2023,4430.5
13/11/2023,4425.25
14/11/2023,4511
15/11/2023,4519.25
16/11/2023,4523.25
17/11/2023,4527.5
20/11/2023,4562.25
21/11/2023,4551.25
22/11/2023,4567.25
24/11/2023,4568.25
27/11/2023,4561
28/11/2023,4563
29/11/2023,4559.25
30/11/2023,4576.75
01/12/2023,4600.75
04/12/2023,4576.5
05/12/2023,4575
06/12/2023,4556
07/12/2023,4589.5
08/12/2023,4607.5
11/12/2023,4626
12/12/2023,4645.75
13/12/2023,4708.25
14/12/2023,4721.75
15/12/2023,4694.27
18/12/2023,4793
19/12/2023,4820.25
20/12/2023,4749.75
21/12/2023,4796.75
22/12/2023,4805.25
26/12/2023,4825
